Unnamed: 0,ts_code,trade_date,pe,pe_ttm,pb,total_mv
371,601601.SH,20190821,19.4024,17.7046,2.2846,34961196.0
372,601601.SH,20190820,19.0705,17.4017,2.2455,34363104.0
373,601601.SH,20190819,19.2314,17.5485,2.2645,34653088.0
374,601601.SH,20190816,18.4921,16.8739,2.1774,33320974.0
375,601601.SH,20190815,18.5324,16.9107,2.1822,33393470.0
376,601601.SH,20190814,18.2608,16.6628,2.1502,32904122.0
377,601601.SH,20190813,18.3563,16.75,2.1615,33076300.0
378,601601.SH,20190812,18.9347,17.2778,2.2296,34118430.0
379,601601.SH,20190809,18.5324,16.9107,2.1822,33393470.0
380,601601.SH,20190808,18.6631,17.03,2.1976,33629082.0
381,601601.SH,20190807,18.477,16.8602,2.1757,33293788.0
382,601601.SH,20190806,18.5324,16.9107,2.1822,33393470.0
383,601601.SH,20190805,18.5022,16.8831,2.1786,33339098.0
384,601601.SH,20190802,18.8894,17.2365,2.2242,34036872.0
385,601601.SH,20190801,19.327,17.6357,2.2757,34825266.0
386,601601.SH,20190731,19.4125,17.7137,2.2858,34979320.0
387,601601.SH,20190730,19.8902,18.1497,2.3421,35840210.0
388,601601.SH,20190729,19.4125,17.7137,2.2858,34979320.0
389,601601.SH,20190726,19.4326,17.7321,2.2882,35015568.0
390,601601.SH,20190725,19.4376,17.7367,2.2888,35024630.0
391,601601.SH,20190724,19.337,17.6449,2.2769,34843390.0
392,601601.SH,20190723,18.6933,17.0575,2.2011,33683454.0
393,601601.SH,20190722,19.2616,17.5761,2.1412,34707460.0
394,601601.SH,20190719,19.503,17.7963,2.1681,35142436.0
395,601601.SH,20190718,19.513,17.8055,2.1692,35160560.0
396,601601.SH,20190717,19.1862,17.5072,2.1329,34571530.0
397,601601.SH,20190716,19.0906,17.42,2.1222,34399352.0
398,601601.SH,20190715,19.1208,17.4476,2.1256,34453724.0
399,601601.SH,20190712,18.9448,17.287,2.106,34136554.0
400,601601.SH,20190711,18.2105,16.617,2.0244,32813502.0
401,601601.SH,20190710,17.7881,16.2315,1.9774,32052294.0
402,601601.SH,20190709,17.5366,16.002,1.9495,31599194.0
403,601601.SH,20190708,17.5668,16.0296,1.9528,31653566.0
404,601601.SH,20190705,18.2055,16.6124,2.0238,32804440.0
405,601601.SH,20190704,18.13,16.5435,2.0155,32668510.0
406,601601.SH,20190703,18.4318,16.8189,2.049,33212230.0
407,601601.SH,20190702,18.6279,16.9978,2.0708,33565648.0
408,601601.SH,20190701,18.7889,17.1447,2.0887,33855632.0
409,601601.SH,20190628,18.3614,16.7546,2.0412,33085362.0
410,601601.SH,20190627,18.2306,16.6353,2.0266,32849750.0
411,601601.SH,20190626,18.2105,16.617,2.0244,32813502.0
412,601601.SH,20190625,18.1954,16.6032,2.0227,32786316.0
413,601601.SH,20190624,18.6581,17.0254,2.0742,33620020.0
414,601601.SH,20190621,18.638,17.007,2.0719,33583772.0
415,601601.SH,20190620,18.7084,17.0713,2.0797,33710640.0
416,601601.SH,20190619,18.1149,16.5298,2.0138,32641324.0
